File extension,Name
.bin,dot bin
.c,dot see
.com,dot com
.cs,dot see sharp
.csv,dot csv
.csv,tot csv
.csv,totssv
.exe,dot exe
.html,dot H T M L
.js,dot J S
.js,dot java script
.json,dot jason
.json,dot jay son
.md,dot mark down
.net,dot net
.org,dot org
.png,dot ping
.py,dot pie
.sh,dot shell
.talon,dot talon
.talon-list,dot talon list
.ts,dot TS
.txt,dot text
.us,dot U S
.us,dot us
